SKU,Name,Parent Product SKU,Price,Sale Price,Description,Track Inventory,QTY,Backorder,Weight,Length,Width,Height,Tax Category,Hidden,Category,Image URL,SEO Title,SEO Desc,Option1 Name,Option1 Values,Option2 Name,Option2 Values,Option3 Name,Option3 Values,Add-on1 Name,Add-on1 Type,Add-on1 Required,Add-on1 Values,Add-on2 Name,Add-on2 Type,Add-on2 Required,Add-on2 Values,Add-on3 Name,Add-on3 Type,Add-on3 Required,Add-on3 Values
1,JOLLOF RICE,,11.99,9.99,"Served with protein (Chicken, turkey, fish or goat meat).",FALSE,50,FALSE,,,,,STANDARD,FALSE,MAINS,,NIGERIAN JOLLOF RICE,"Rich and smoky Jollof Rice, a hallmark of Nigerian cuisine. Perfect on its own or as a base for your favorite protein.",,,,,,,Protein,"Beef, Chicken",,,,,,,,,,
2,FRIED RICE,,12.99,10.99,"Served with protein (Chicken, turkey, fish or goat meat).",FALSE,50,FALSE,,,,,STANDARD,FALSE,MAINS,,NIGERIAN FRIED RICE,,,,,,,,Protein,"Beef, Chicken",,,,,,,,,,
3,TOMATOE STEW,,20.99,18.99,"Slow cooked tomato stew served with any protein (Chicken, turkey, fish or goat meat).",FALSE,50,FALSE,,,,,STANDARD,FALSE,MAINS,,NIGERIAN TOMATOE STEW,,,,,,,,,,,,,,,,,,,
5,NIGERIAN SHARWARMA,,13.99,11.99,"A wrap of chicken, or beef, or lamb with a mix of leafy salad, smoked sausage and spicy sharwama sauce",FALSE,50,FALSE,,,,,STANDARD,FALSE,MAINS,,NIGERIAN SHARWARMA,,,,,,,,,,,,,,,,,,,
6,AKARA & BREAD,,12.99,10.99,Served with pap or custard,FALSE,50,FALSE,,,,,STANDARD,FALSE,COMBO MEALS,,AKARA AND BREAD,,,,,,,,,,,,,,,,,,,
7,FRIED YAM & PLANTAIN,,12.99,10.99,Served with pepper sauce(mild),FALSE,50,FALSE,,,,,STANDARD,FALSE,COMBO MEALS,,FRIED YAM & PLANTAIN,,,,,,,,,,,,,,,,,,,
8,BOLE,,16.99,14.99,"Roasted yam, plantain, assorted pepper & onion sauce",FALSE,50,FALSE,,,,,STANDARD,FALSE,COMBO MEALS,,NIGERIAN BOLE/ ROASTED YAM AND PLANTAIN,,,,,,,,,,,,,,,,,,,
9,NJA BREAKFAST,,15.99,13.99,"Pancake or Toast served with scrambled eggs, sausages and maple syrup",FALSE,50,FALSE,,,,,STANDARD,FALSE,COMBO MEALS,,NIGERIAN BREAKFAST,,,,,,,,,,,,,,,,,,,
10,SMALL CHOPS,,8.99,6.99,"Puff puff, spring roll & samosa",FALSE,50,FALSE,,,,,STANDARD,FALSE,COMBO MEALS,,SMALL CHOPS,,Size,"Small, Medium, Large",,,,,,,,,,,,,,,,
11,SUYA CHICKEN WINGS,,11.99,9.99,Grilled chicken wings marinated in a spicy suya seasoning,FALSE,50,FALSE,,,,,STANDARD,FALSE,PROTEINS,,CHICKEN SUYA,,,,,,,,,,,,,,,,,,,
12,BEEF SUYA,,12.99,10.99,"skewered beef, grilled to perfection with rich suya spice",FALSE,50,FALSE,,,,,STANDARD,FALSE,PROTEINS,,BEEF SUYA,,,,,,,,,,,,,,,,,,,
13,SUYA TURKEY WINGS,,12.99,10.99,"Tender turkey wings coated in suya seasoning, grilled until smoky",FALSE,50,FALSE,,,,,STANDARD,FALSE,PROTEINS,,TURKEY SUYA,,,,,,,,,,,,,,,,,,,
14,SPICY GRILLED FISH,,20.99,18.99,"marinated in fiery spices, and grilled for a smoky, flavorful finish",FALSE,50,FALSE,,,,,STANDARD,FALSE,PROTEINS,,SPICY GRILLED FISH,,,,,,,,,,,,,,,,,,,
15,PEPPER SOUP,,16.99,14.99,"A spicy broth infused with traditional Nigerian spices and a combo of assorted meat, perfect for warmth",FALSE,50,FALSE,,,,,STANDARD,FALSE,PROTEINS,,NIGERIAN PEPPER SOUP,,,,,,,,,,,,,,,,,,,
16,SAMOSA,,6.5,5.5,Fried or baked pastries filled with spiced vegetables or meat,FALSE,50,FALSE,,,,,STANDARD,FALSE,SNACKS,,SAMOSA,,,,,,,,,,,,,,,,,,,
17,SANDWICH,,7.5,5.5,Nja style filled with sardine & butter,FALSE,50,FALSE,,,,,STANDARD,FALSE,SNACKS,,SANDWICH,,,,,,,,,,,,,,,,,,,
18,PUFF PUFF,,4.3,2.3,"Deep-fried dough balls, often served with sugar or pepper",FALSE,50,FALSE,,,,,STANDARD,FALSE,SNACKS,,PUFF PUFF,,,,,,,,,,,,,,,,,,,
19,SPRING ROLLS,,7.5,4.5,Crispy rolls filled with vegetables,FALSE,50,FALSE,,,,,STANDARD,FALSE,SNACKS,,SPRING ROLLS,,,,,,,,,,,,,,,,,,,
20,AKARA,,6.99,4.99,,FALSE,50,FALSE,,,,,STANDARD,FALSE,SIDES,,AKARA,,,,,,,,,,,,,,,,,,,
21,MOI MOI,,7.99,5.99,,FALSE,50,FALSE,,,,,STANDARD,FALSE,SIDES,,MOI MOI,,,,,,,,,,,,,,,,,,,
22,FRIED YAM,,7.99,5.99,,FALSE,50,FALSE,,,,,STANDARD,FALSE,SIDES,,FRIED YAM,,,,,,,,,,,,,,,,,,,
23,FRIED PLANTAIN,,7.99,5.99,,FALSE,50,FALSE,,,,,STANDARD,FALSE,SIDES,,FRIED PLANTAIN,,,,,,,,,,,,,,,,,,,
24,SAUSAGES,,4.99,2.99,,FALSE,50,FALSE,,,,,STANDARD,FALSE,SIDES,,SAUSAGES,,,,,,,,,,,,,,,,,,,
25,PEPPER SAUCE,,4.5,2.5,,FALSE,50,FALSE,,,,,STANDARD,FALSE,SIDES,,PEPPER SAUCE,,,,,,,,,,,,,,,,,,,
